purchase_date,day,month,year,quarter,weekday
2017-10-02,2,10,2017,4,Monday
2018-07-24,24,7,2018,3,Tuesday
2018-08-08,8,8,2018,3,Wednesday
2017-11-18,18,11,2017,4,Saturday
2018-02-13,13,2,2018,1,Tuesday
2017-07-09,9,7,2017,3,Sunday
2017-04-11,11,4,2017,2,Tuesday
2017-05-16,16,5,2017,2,Tuesday
2017-01-23,23,1,2017,1,Monday
2017-07-29,29,7,2017,3,Saturday
2017-07-13,13,7,2017,3,Thursday
2018-06-07,7,6,2018,2,Thursday
2018-07-25,25,7,2018,3,Wednesday
2018-03-01,1,3,2018,1,Thursday
2018-01-02,2,1,2018,1,Tuesday
2017-12-26,26,12,2017,4,Tuesday
2017-11-21,21,11,2017,4,Tuesday
2017-10-26,26,10,2017,4,Thursday
2017-09-18,18,9,2017,3,Monday
2018-03-15,15,3,2018,1,Thursday
2018-02-03,3,2,2018,1,Saturday
2018-01-08,8,1,2018,1,Monday
2018-08-09,9,8,2018,3,Thursday
2018-02-20,20,2,2018,1,Tuesday
2018-06-04,4,6,2018,2,Monday
2018-03-12,12,3,2018,1,Monday
2018-05-02,2,5,2018,2,Wednesday
2018-02-25,25,2,2018,1,Sunday
2017-08-10,10,8,2017,3,Thursday
2018-04-16,16,4,2018,2,Monday
2017-12-12,12,12,2017,4,Tuesday
2018-07-29,29,7,2018,3,Sunday
2018-02-17,17,2,2018,1,Saturday
2018-02-21,21,2,2018,1,Wednesday
2017-07-31,31,7,2017,3,Monday
2018-06-01,1,6,2018,2,Friday
2018-03-26,26,3,2018,1,Monday
2017-05-19,19,5,2017,2,Friday
2017-11-24,24,11,2017,4,Friday
2017-08-04,4,8,2017,3,Friday
2018-08-04,4,8,2018,3,Saturday
2017-05-18,18,5,2017,2,Thursday
2017-05-14,14,5,2017,2,Sunday
2018-05-17,17,5,2018,2,Thursday
2017-08-09,9,8,2017,3,Wednesday
2018-02-01,1,2,2018,1,Thursday
2018-06-26,26,6,2018,2,Tuesday
2018-07-26,26,7,2018,3,Thursday
2017-12-15,15,12,2017,4,Friday
2017-08-31,31,8,2017,3,Thursday
2018-06-11,11,6,2018,2,Monday
2018-03-09,9,3,2018,1,Friday
2017-03-13,13,3,2017,1,Monday
2017-06-13,13,6,2017,2,Tuesday
2017-11-30,30,11,2017,4,Thursday
2018-08-05,5,8,2018,3,Sunday
2017-11-15,15,11,2017,4,Wednesday
2018-02-19,19,2,2018,1,Monday
2018-04-22,22,4,2018,2,Sunday
2018-01-07,7,1,2018,1,Sunday
2018-02-10,10,2,2018,1,Saturday
2018-06-18,18,6,2018,2,Monday
2018-06-13,13,6,2018,2,Wednesday
2018-07-15,15,7,2018,3,Sunday
2017-09-13,13,9,2017,3,Wednesday
2018-04-13,13,4,2018,2,Friday
2018-02-15,15,2,2018,1,Thursday
2017-02-20,20,2,2017,1,Monday
2017-04-20,20,4,2017,2,Thursday
2017-09-15,15,9,2017,3,Friday
2018-07-28,28,7,2018,3,Saturday
2018-08-26,26,8,2018,3,Sunday
2017-07-30,30,7,2017,3,Sunday
2017-12-22,22,12,2017,4,Friday
2017-04-06,6,4,2017,2,Thursday
2017-05-09,9,5,2017,2,Tuesday
2017-10-16,16,10,2017,4,Monday
2017-12-08,8,12,2017,4,Friday
2017-08-26,26,8,2017,3,Saturday
2018-02-27,27,2,2018,1,Tuesday
2018-05-11,11,5,2018,2,Friday
2018-01-22,22,1,2018,1,Monday
2018-05-01,1,5,2018,2,Tuesday
2017-09-19,19,9,2017,3,Tuesday
2018-04-11,11,4,2018,2,Wednesday
2017-12-20,20,12,2017,4,Wednesday
2018-08-03,3,8,2018,3,Friday
2018-05-14,14,5,2018,2,Monday
2017-11-22,22,11,2017,4,Wednesday
2017-03-30,30,3,2017,1,Thursday
2018-06-05,5,6,2018,2,Tuesday
2017-05-17,17,5,2017,2,Wednesday
2018-07-30,30,7,2018,3,Monday
2018-02-06,6,2,2018,1,Tuesday
2017-01-28,28,1,2017,1,Saturday
2018-01-27,27,1,2018,1,Saturday
2017-07-01,1,7,2017,3,Saturday
2017-09-27,27,9,2017,3,Wednesday
2017-11-28,28,11,2017,4,Tuesday
2018-08-22,22,8,2018,3,Wednesday
2018-07-06,6,7,2018,3,Friday
2018-05-09,9,5,2018,2,Wednesday
2017-11-26,26,11,2017,4,Sunday
2017-09-29,29,9,2017,3,Friday
2017-06-27,27,6,2017,2,Tuesday
2018-01-23,23,1,2018,1,Tuesday
2018-08-20,20,8,2018,3,Monday
2018-01-30,30,1,2018,1,Tuesday
2018-03-31,31,3,2018,1,Saturday
2018-03-07,7,3,2018,1,Wednesday
2018-05-08,8,5,2018,2,Tuesday
2018-04-25,25,4,2018,2,Wednesday
2017-07-16,16,7,2017,3,Sunday
2017-09-03,3,9,2017,3,Sunday
2017-10-19,19,10,2017,4,Thursday
2018-07-22,22,7,2018,3,Sunday
2017-12-02,2,12,2017,4,Saturday
2018-01-09,9,1,2018,1,Tuesday
2018-07-18,18,7,2018,3,Wednesday
2017-03-28,28,3,2017,1,Tuesday
2018-06-08,8,6,2018,2,Friday
2017-07-10,10,7,2017,3,Monday
2018-05-16,16,5,2018,2,Wednesday
2018-07-05,5,7,2018,3,Thursday
2017-09-20,20,9,2017,3,Wednesday
2018-01-10,10,1,2018,1,Wednesday
2017-04-26,26,4,2017,2,Wednesday
